source,target,occurrences,origin_count,origins,article_count,glossary_like,ambiguous,ambiguous_targets,recommended_strategy,recommended_for_yaml
Runner Shell Rundown,疾行者外壳总结,1,1,h1,1,yes,no,疾行者外壳总结,force,no
"Saturday, March 14 at 11 AM PT",北京时间3月15日（周日）凌晨2点,1,1,strong,1,no,no,北京时间3月15日（周日）凌晨2点,force,no
Scoring format:,北京时间3月15日（周日）凌晨2点至早上7点,1,1,strong,1,no,no,北京时间3月15日（周日）凌晨2点至早上7点,force,no
Season 2 Combat Tuning Preview,第2赛季战斗调整预览,1,1,title,1,yes,no,第2赛季战斗调整预览,force,no
Season 2 is Now Live,第2赛季现已上线,1,1,title,1,yes,no,第2赛季现已上线,force,no
"Season 2, fresh for you",第2赛季，为你焕然一新,1,1,h1,1,yes,no,第2赛季，为你焕然一新,force,no
See real-life gameplay in the Creator Highlights video,在创作者集锦中观看实机演示,1,1,h2,1,no,no,在创作者集锦中观看实机演示,force,no
Sentinel:,哨兵：,1,1,strong,1,no,no,哨兵：,force,no
Server Slam FAQ,服务器压力测试常见问题解答,1,1,h2,1,yes,no,服务器压力测试常见问题解答,force,no
Shells,外壳,1,1,h1,1,yes,no,外壳,force,no
Silver I,白银I,1,1,strong,1,no,no,白银I,force,no
solo play only,单人模式限定,1,1,strong,1,no,no,单人模式限定,force,no
Team Aztecross,Team Aztecross,1,1,strong,1,yes,no,Team Aztecross,preserve,no
Team Bearki,Team Bearki,1,1,strong,1,yes,no,Team Bearki,preserve,no
Team BurntPeanut,Team BurntPeanut,1,1,strong,1,yes,no,Team BurntPeanut,preserve,no
Team Joueur_du_Grenier,Team Jour_du_Grenier,1,1,strong,1,no,no,Team Jour_du_Grenier,force,no
Team Rubius,Team Rubius,1,1,strong,1,yes,no,Team Rubius,preserve,no
Team Shroud,Team Shroud,1,1,strong,1,yes,no,Team Shroud,preserve,no
Thanks for playing in the Server Slam!,感谢参与服务器压力测试,1,1,title,1,no,no,感谢参与服务器压力测试,force,no
The forever war against cheaters.,与作弊者之间的永恒斗争。,1,1,subtitle,1,no,no,与作弊者之间的永恒斗争。,force,no
The mid-season balance update,赛季中期平衡更新,1,1,subtitle,1,no,no,赛季中期平衡更新,force,no
The one about Cryo Archive (Cont.),关于低温档案室（续）,1,1,subtitle,1,yes,no,关于低温档案室（续）,force,no
The one about Cryo Archive Sponsored Kits.,关于低温档案室赞助包。,1,1,subtitle,1,yes,no,关于低温档案室赞助包。,force,no
The one about Cryo Archive.,关于低温档案室。,1,1,subtitle,1,yes,no,关于低温档案室。,force,no
The one about Grenade stacks.,手雷叠加层数调整。,1,1,subtitle,1,no,no,手雷叠加层数调整。,force,no
The one about knives and bubble shields,关于匕首和气泡护盾,1,1,subtitle,1,no,no,关于匕首和气泡护盾,force,no
The one about overflow items,关于溢出物品,1,1,subtitle,1,no,no,关于溢出物品,force,no
The one about Rook.,关于鲁克。,1,1,subtitle,1,no,no,关于鲁克。,force,no
The one about Sentinel Mastery Entries,关于哨兵精通条目,1,1,subtitle,1,no,no,关于哨兵精通条目,force,no
The one about slide canceling,关于滑行取消,1,1,subtitle,1,no,no,关于滑行取消,force,no
The one about the C.A.R.R.I protocol returning.,关于C.A.R.R.I.协议回归。,1,1,subtitle,1,no,no,关于C.A.R.R.I.协议回归。,force,no
The one about the Warden Hunt,关于追猎看守者,1,1,subtitle,1,no,no,关于追猎看守者,force,no
The one about the WSTR and Cryo Archive Sponsored Kits.,关于WSTR和低温档案室赞助包。,1,1,subtitle,1,no,no,关于WSTR和低温档案室赞助包。,force,no
The one where Rook escapes.,关于鲁克逃离。,1,1,subtitle,1,no,no,关于鲁克逃离。,force,no
The one where the shadows move.,关于阴影移动。,1,1,subtitle,1,no,no,关于阴影移动。,force,no
thermal optic,热能瞄具,1,1,strong,1,no,no,热能瞄具,force,no
Tips to help you find your footing on the surface!,一些帮你快速上手的小贴士！,1,1,subtitle,1,no,no,一些帮你快速上手的小贴士！,force,no
"tomorrow, March 20",3月21日,1,1,strong,1,no,no,3月21日,force,no
"Toolkit, Stryder M1T Weapon Style (Platinum I)",工具包，风行者M1T武器风格（白金I）,1,1,strong,1,yes,no,工具包，风行者M1T武器风格（白金I）,force,no
Tune into the Tau Ceti Cup on March 14,敬请关注3月15日的天仓五杯,1,1,title,1,no,no,敬请关注3月15日的天仓五杯,force,no
"Two volumes, 42 tracks, all vibes: available now",氛围拉满的两卷原声带，42首曲目：现已推出,1,1,subtitle,1,yes,no,氛围拉满的两卷原声带，42首曲目：现已推出,force,no
UI & UX,UI和UX,1,1,h2,1,yes,no,UI和UX,force,no
UP FIRST... Important dates and our first playtest 📆,首先……关于游戏首测的重要日子📆,1,1,h2,1,no,no,首先……关于游戏首测的重要日子📆,force,no
Vandal’s,暴徒,1,1,strong,1,no,no,暴徒,force,no
Vault and Armory,保险库和军械库,1,1,h2,1,yes,no,保险库和军械库,force,no
Vector grenades,矢量手雷,1,1,strong,1,no,no,矢量手雷,force,no
Vector rounds,矢量弹,1,1,strong,1,no,no,矢量弹,force,no
vibes and gunplay action,超爽动作和枪战,1,1,strong,1,no,no,超爽动作和枪战,force,no
"Vision of Marathon: New Gameplay, Dev Insights, & More",展望《失落星船：马拉松》——全新游戏玩法及开发者见解等,1,1,title,1,no,no,展望《失落星船：马拉松》——全新游戏玩法及开发者见解等,force,no
Want to see more gameplay footage directly from your favorite creators?,想直接从你喜欢的创作者那里看到更多的游戏片段吗？,1,1,strong,1,no,no,想直接从你喜欢的创作者那里看到更多的游戏片段吗？,force,no
Want to see the full show?,想看完整内容吗？,1,1,strong,1,no,no,想看完整内容吗？,force,no
Want to sign up for your chance to join the first playtest?,想报名参加第一次游戏测试吗？,1,1,strong,1,no,no,想报名参加第一次游戏测试吗？,force,no
Watch the Launch Gameplay Trailer,观看发布游戏预告片,1,1,h1,1,no,no,观看发布游戏预告片,force,no
Watching The Slam: Twitch Drops,观看压力测试：Twitch掉落,1,1,h2,1,no,no,观看压力测试：Twitch掉落,force,no
Weapon chips,武器芯片,1,1,strong,1,no,no,武器芯片,force,no
Weapons and Equipment,武器和装备,1,1,h1,1,no,no,武器和装备,force,no
Welcome to Season 2,欢迎来到第2赛季,1,1,title,1,yes,no,欢迎来到第2赛季,force,no
"We’re bringing the latest and greatest, straight to you",第一时间为你呈现最新、最优质的内容,1,1,subtitle,1,no,no,第一时间为你呈现最新、最优质的内容,force,no
We’re opening up the doors and letting everyone in from February 26 – March 2.,我们将在2月27日至3月3日开放服务器，欢迎所有玩家进入游戏体验。,1,1,subtitle,1,no,no,我们将在2月27日至3月3日开放服务器，欢迎所有玩家进入游戏体验。,force,no
What comes next?,接下来呢？,1,1,h2,1,no,no,接下来呢？,force,no
What is different from the Server Slam?,正式版与服务器压力测试版相比有哪些不同？,1,1,h3,1,no,no,正式版与服务器压力测试版相比有哪些不同？,force,no
What Makes This A Server Slam,什么是服务器压力测试？,1,1,h2,1,no,no,什么是服务器压力测试？,force,no
What You Will Experience During The Slam,在压力测试期间，你能体验到什么？,1,1,h2,1,no,no,在压力测试期间，你能体验到什么？,force,no
What You’ll Play During the Server Slam,服务器压力测试中可游玩的内容,1,1,h1,1,no,no,服务器压力测试中可游玩的内容,force,no
When do I get my rewards?,我什么时候能拿到奖励？,1,1,h3,1,no,no,我什么时候能拿到奖励？,force,no
"When do Outpost, Cryo Archive, and Ranked mode go live?",前哨、低温档案室和排名模式何时上线？,1,1,h3,1,no,no,前哨、低温档案室和排名模式何时上线？,force,no
When does Marathon launch?,《失落星船：马拉松》何时发布？,1,1,h3,1,no,no,《失落星船：马拉松》何时发布？,force,no
When is the Server Slam again?,服务器压力测试的具体时间是什么时候？,1,1,h3,1,no,no,服务器压力测试的具体时间是什么时候？,force,no
When will I get my Twitch Drops from watching during the Server Slam?,我在服务器压力测试期间通过观看直播获得的Twitch掉落何时到账？,1,1,h3,1,no,no,我在服务器压力测试期间通过观看直播获得的Twitch掉落何时到账？,force,no
Where can I play?,在哪里可以游玩？,1,1,h3,1,no,no,在哪里可以游玩？,force,no
Which platforms can I play Marathon on?,我可以在哪些平台游玩《失落星船：马拉松》？,1,1,h3,1,no,no,我可以在哪些平台游玩《失落星船：马拉松》？,force,no
Which regions and languages are supported?,支持哪些地区和语言？,1,1,h3,1,no,no,支持哪些地区和语言？,force,no
Why is it called a “Server Slam”?,为什么叫“服务器压力测试”？,1,1,h3,1,no,no,为什么叫“服务器压力测试”？,force,no
will not carry over,不会继承,1,1,strong,1,no,no,不会继承,force,no
"Will there be bugs, queues, or downtime?",会有程序错误、登录排队或服务器关闭的情况吗？,1,1,h3,1,no,no,会有程序错误、登录排队或服务器关闭的情况吗？,force,no
Will there be login queues occur at launch? How do I check server status?,游戏发布当天会出现排队登录的情况吗？如何查看服务器状态？,1,1,h3,1,no,no,游戏发布当天会出现排队登录的情况吗？如何查看服务器状态？,force,no
Will there be new Twitch Drops at launch? How do I earn them?,游戏发布时还会有新的Twitch掉落吗？如何获得？,1,1,h3,1,no,no,游戏发布时还会有新的Twitch掉落吗？如何获得？,force,no
world,马拉松世界,1,1,strong,1,no,no,马拉松世界,force,no
you,你,1,1,strong,1,no,no,你,force,no
– Frost Mine,——冰霜地雷,1,1,strong,1,no,no,——冰霜地雷,force,no
– Signal Flares,——信号弹,1,1,strong,1,no,no,——信号弹,force,no
– Vector Grenade,——矢量手雷,1,1,strong,1,no,no,——矢量手雷,force,no
Zones,区域,13,2,h1|h2,13,no,yes,区域 | 综合,force,no
Combat,战斗,12,2,h1|h2,12,no,yes,战斗 | 用户界面和体验,force,no
Weapons,武器,9,3,h1|h2|h3,9,no,yes,军械库 | 武器,force,no
Dire Marsh,恐怖沼泽,3,1,h3,3,yes,yes,定制《失落星船：马拉松》夹克 | 恐怖沼泽,force,no
March 5 at 10 AM PT,北京时间3月6日凌晨2点,2,1,strong,1,no,yes,3月6日凌晨2点 | 北京时间3月6日凌晨2点,force,no
Perimeter,外围区域,2,2,h3|strong,2,yes,yes,REKT Twitch频道 | 外围区域,force,no
Combat,用户界面和体验,1,1,h2,1,no,yes,战斗 | 用户界面和体验,force,no
Dire Marsh,定制《失落星船：马拉松》夹克,1,1,strong,1,yes,yes,定制《失落星船：马拉松》夹克 | 恐怖沼泽,force,no
June 2 to June 9,6月3日至10日,1,1,strong,1,no,yes,* | 6月3日至10日 | 6月3日至6月10日,force,no
June 2 to June 9,*,1,1,strong,1,no,yes,* | 6月3日至10日 | 6月3日至6月10日,force,no
June 2 to June 9,6月3日至6月10日,1,1,strong,1,no,yes,* | 6月3日至10日 | 6月3日至6月10日,force,no
Marathon Collector’s Edition available now,《失落星船：马拉松》典藏版 现已推出,1,1,h1,1,yes,yes,《失落星船：马拉松》典藏版 | 《失落星船：马拉松》典藏版 现已推出,force,no
Marathon Collector’s Edition available now,《失落星船：马拉松》典藏版,1,1,strong,1,yes,yes,《失落星船：马拉松》典藏版 | 《失落星船：马拉松》典藏版 现已推出,force,no
March 5 at 10 AM PT,3月6日凌晨2点,1,1,strong,1,no,yes,3月6日凌晨2点 | 北京时间3月6日凌晨2点,force,no
Perimeter,REKT Twitch频道,1,1,strong,1,yes,yes,REKT Twitch频道 | 外围区域,force,no
thank you,感谢,1,1,strong,1,no,yes,感谢 | 真诚感谢,force,no
thank you,真诚感谢,1,1,strong,1,no,yes,感谢 | 真诚感谢,force,no
Weapons,军械库,1,1,h3,1,no,yes,军械库 | 武器,force,no
Zones,综合,1,1,h2,1,no,yes,区域 | 综合,force,no
